qwerty	cans	code.point
e	ᐁ	U+1401
i	ᐃ	U+1403
ii	ᐄ	U+1404
o	ᐅ	U+1405
oo	ᐆ	U+1406
a	ᐊ	U+140A
aa	ᐋ	U+140B
we	ᐍ	U+140D
wi	ᐏ	U+140F
wii	ᐑ	U+1411
wo	ᐓ	U+1413
woo	ᐕ	U+1415
wa	ᐘ	U+1418
waa	ᐚ	U+141A
t	ᐟ	U+141F
k	ᐠ	U+1420
s	ᐢ	U+1422
n	ᐣ	U+1423
w	ᐤ	U+1424
h	ᐦ	U+1426
c	ᐨ	U+1428
y	ᐩ	U+1429
pe	ᐯ	U+142F
pi	ᐱ	U+1431
pii	ᐲ	U+1432
po	ᐳ	U+1433
poo	ᐴ	U+1434
pa	ᐸ	U+1438
paa	ᐹ	U+1439
pwe	ᐻ	U+143B
pwi	ᐽ	U+143D
pwii	ᐿ	U+143F
pwo	ᑁ	U+1441
pwoo	ᑃ	U+1443
pwa	ᑅ	U+1445
pwaa	ᑇ	U+1447
p	ᑊ	U+144A
te	ᑌ	U+144C
ti	ᑎ	U+144E
tii	ᑏ	U+144F
to	ᑐ	U+1450
too	ᑑ	U+1451
ta	ᑕ	U+1455
taa	ᑖ	U+1456
twe	ᑘ	U+1458
twi	ᑚ	U+145A
twii	ᑜ	U+145C
two	ᑞ	U+145E
twoo	ᑠ	U+1460
twa	ᑢ	U+1462
twaa	ᑤ	U+1464
ke	ᑫ	U+146B
ki	ᑭ	U+146D
kii	ᑮ	U+146E
ko	ᑯ	U+146F
koo	ᑰ	U+1470
ka	ᑲ	U+1472
kaa	ᑳ	U+1473
kwe	ᑵ	U+1475
kwi	ᑷ	U+1477
kwii	ᑹ	U+1479
kwo	ᑻ	U+147B
kwoo	ᑽ	U+147D
kwa	ᑿ	U+147F
kwaa	ᒁ	U+1481
ce	ᒉ	U+1489
ci	ᒋ	U+148B
cii	ᒌ	U+148C
co	ᒍ	U+148D
coo	ᒎ	U+148E
ca	ᒐ	U+1490
caa	ᒑ	U+1491
cwe	ᒓ	U+1493
cwi	ᒕ	U+1495
cwii	ᒗ	U+1497
cwo	ᒙ	U+1499
cwoo	ᒛ	U+149B
cwa	ᒝ	U+149D
cwaa	ᒟ	U+149F
me	ᒣ	U+14A3
mi	ᒥ	U+14A5
mii	ᒦ	U+14A6
mo	ᒧ	U+14A7
moo	ᒨ	U+14A8
ma	ᒪ	U+14AA
maa	ᒫ	U+14AB
mwe	ᒭ	U+14AD
mwi	ᒯ	U+14AF
mwii	ᒱ	U+14B1
mwo	ᒳ	U+14B3
mwoo	ᒵ	U+14B5
mwa	ᒷ	U+14B7
mwaa	ᒹ	U+14B9
m	ᒼ	U+14BC
ne	ᓀ	U+14C0
ni	ᓂ	U+14C2
nii	ᓃ	U+14C3
no	ᓄ	U+14C4
noo	ᓅ	U+14C5
na	ᓇ	U+14C7
naa	ᓈ	U+14C8
nwe	ᓊ	U+14CA
nwa	ᓌ	U+14CC
nwaa	ᓎ	U+14CE
l	ᓬ	U+14EC
se	ᓭ	U+14ED
si	ᓯ	U+14EF
sii	ᓰ	U+14F0
so	ᓱ	U+14F1
soo	ᓲ	U+14F2
sa	ᓴ	U+14F4
saa	ᓵ	U+14F5
swe	ᓷ	U+14F7
swi	ᓹ	U+14F9
swii	ᓻ	U+14FB
swo	ᓽ	U+14FD
swoo	ᓿ	U+14FF
swa	ᔁ	U+1501
swaa	ᔃ	U+1503
ye	ᔦ	U+1526
yi	ᔨ	U+1528
yii	ᔩ	U+1529
yo	ᔪ	U+152A
yoo	ᔫ	U+152B
ya	ᔭ	U+152D
yaa	ᔮ	U+152E
ywe	ᔰ	U+1530
ywi	ᔲ	U+1532
ywii	ᔴ	U+1534
ywo	ᔶ	U+1536
ywoo	ᔸ	U+1538
ywa	ᔺ	U+153A
ywaa	ᔼ	U+153C
r	ᕒ	U+1552
hk	ᕽ	U+157D
nwi	ᣇ	U+18C7
nwii	ᣉ	U+18C9
nwo	ᣋ	U+18CB
nwoo	ᣍ	U+18CD
