qwerty	cans	code.point
e	ᐁ	U+1401
i	ᐃ	U+1403
ii	ᐄ	U+1404
o	ᐅ	U+1405
oo	ᐆ	U+1406
a	ᐊ	U+140A
aa	ᐋ	U+140B
we	ᐍ	U+140D
wi	ᐏ	U+140F
wii	ᐑ	U+1411
wo	ᐓ	U+1413
woo	ᐕ	U+1415
wa	ᐘ	U+1418
waa	ᐚ	U+141A
t	ᐟ	U+141F
k	ᐠ	U+1420
s	ᐢ	U+1422
n	ᐣ	U+1423
w	ᐤ	U+1424
h	ᐦ	U+1426
c	ᐨ	U+1428
y	ᐩ	U+1429
pe	ᐯ	U+142F
pi	ᐱ	U+1431
pii	ᐲ	U+1432
po	ᐳ	U+1433
poo	ᐴ	U+1434
pa	ᐸ	U+1438
paa	ᐹ	U+1439
pe	ᐻ	U+143B
pi	ᐽ	U+143D
pii	ᐿ	U+143F
po	ᑁ	U+1441
poo	ᑃ	U+1443
pa	ᑅ	U+1445
paa	ᑇ	U+1447
p	ᑊ	U+144A
te	ᑌ	U+144C
ti	ᑎ	U+144E
tii	ᑏ	U+144F
to	ᑐ	U+1450
too	ᑑ	U+1451
ta	ᑕ	U+1455
taa	ᑖ	U+1456
te	ᑘ	U+1458
ti	ᑚ	U+145A
tii	ᑜ	U+145C
to	ᑞ	U+145E
too	ᑠ	U+1460
ta	ᑢ	U+1462
taa	ᑤ	U+1464
ke	ᑫ	U+146B
ki	ᑭ	U+146D
kii	ᑮ	U+146E
ko	ᑯ	U+146F
koo	ᑰ	U+1470
ka	ᑲ	U+1472
kaa	ᑳ	U+1473
ke	ᑵ	U+1475
ki	ᑷ	U+1477
kii	ᑹ	U+1479
ko	ᑻ	U+147B
koo	ᑽ	U+147D
ka	ᑿ	U+147F
kaa	ᒁ	U+1481
ce	ᒉ	U+1489
ci	ᒋ	U+148B
cii	ᒌ	U+148C
co	ᒍ	U+148D
coo	ᒎ	U+148E
ca	ᒐ	U+1490
caa	ᒑ	U+1491
ce	ᒓ	U+1493
ci	ᒕ	U+1495
cii	ᒗ	U+1497
co	ᒙ	U+1499
coo	ᒛ	U+149B
ca	ᒝ	U+149D
caa	ᒟ	U+149F
me	ᒣ	U+14A3
mi	ᒥ	U+14A5
mii	ᒦ	U+14A6
mo	ᒧ	U+14A7
moo	ᒨ	U+14A8
ma	ᒪ	U+14AA
maa	ᒫ	U+14AB
me	ᒭ	U+14AD
mi	ᒯ	U+14AF
mii	ᒱ	U+14B1
mo	ᒳ	U+14B3
moo	ᒵ	U+14B5
ma	ᒷ	U+14B7
maa	ᒹ	U+14B9
m	ᒼ	U+14BC
ne	ᓀ	U+14C0
ni	ᓂ	U+14C2
nii	ᓃ	U+14C3
no	ᓄ	U+14C4
noo	ᓅ	U+14C5
na	ᓇ	U+14C7
naa	ᓈ	U+14C8
ne	ᓊ	U+14CA
na	ᓌ	U+14CC
naa	ᓎ	U+14CE
l	ᓬ	U+14EC
se	ᓭ	U+14ED
si	ᓯ	U+14EF
sii	ᓰ	U+14F0
so	ᓱ	U+14F1
soo	ᓲ	U+14F2
sa	ᓴ	U+14F4
saa	ᓵ	U+14F5
se	ᓷ	U+14F7
si	ᓹ	U+14F9
sii	ᓻ	U+14FB
so	ᓽ	U+14FD
soo	ᓿ	U+14FF
sa	ᔁ	U+1501
saa	ᔃ	U+1503
ye	ᔦ	U+1526
yi	ᔨ	U+1528
yii	ᔩ	U+1529
yo	ᔪ	U+152A
yoo	ᔫ	U+152B
ya	ᔭ	U+152D
yaa	ᔮ	U+152E
ye	ᔰ	U+1530
yi	ᔲ	U+1532
yii	ᔴ	U+1534
yo	ᔶ	U+1536
yoo	ᔸ	U+1538
ya	ᔺ	U+153A
yaa	ᔼ	U+153C
r	ᕒ	U+1552
hk	ᕽ	U+157D
the	ᖧ	U+15A7
thi	ᖨ	U+15A8
thii	ᖩ	U+15A9
tho	ᖪ	U+15AA
thoo	ᖫ	U+15AB
tha	ᖬ	U+15AC
thaa	ᖭ	U+15AD
th	ᖮ	U+15AE
the	ᙷ	U+1677
thi	ᙸ	U+1678
thii	ᙹ	U+1679
tho	ᙺ	U+167A
thoo	ᙻ	U+167B
tha	ᙼ	U+167C
thaa	ᙽ	U+167D
ni	ᣇ	U+18C7
nii	ᣉ	U+18C9
no	ᣋ	U+18CB
noo	ᣍ	U+18CD
