cans	latn	scalar.value	kind	has.vowel	has.long.vowel	vowel	has.consonant	consonant	has.w	in.plains.cree	in.woods.cree	in.swampy.cree	qwerty.mnemonic	vim.digraph	code.point	unicode.name
ᐁ	ê	5121	vowel	TRUE	TRUE	ê	FALSE			TRUE	TRUE	TRUE	e	e:	U+1401	CANADIAN SYLLABICS E
ᐃ	i	5123	vowel	TRUE	FALSE	i	FALSE			TRUE	TRUE	TRUE	i	i.	U+1403	CANADIAN SYLLABICS I
ᐄ	î	5124	vowel	TRUE	TRUE	î	FALSE			TRUE	TRUE	TRUE	ii	i:	U+1404	CANADIAN SYLLABICS II
ᐅ	o	5125	vowel	TRUE	FALSE	o	FALSE			TRUE	TRUE	TRUE	o	o.	U+1405	CANADIAN SYLLABICS O
ᐆ	ô	5126	vowel	TRUE	TRUE	ô	FALSE			TRUE	TRUE	TRUE	oo	o:	U+1406	CANADIAN SYLLABICS OO
ᐊ	a	5130	vowel	TRUE	FALSE	a	FALSE			TRUE	TRUE	TRUE	a	a.	U+140A	CANADIAN SYLLABICS A
ᐋ	â	5131	vowel	TRUE	TRUE	â	FALSE			TRUE	TRUE	TRUE	aa	a:	U+140B	CANADIAN SYLLABICS AA
ᐍ	wê	5133	syllable	TRUE	TRUE	ê	TRUE	w	TRUE	TRUE	TRUE	TRUE	we	we	U+140D	CANADIAN SYLLABICS WEST-CREE WE
ᐏ	wi	5135	syllable	TRUE	FALSE	i	TRUE	w	TRUE	TRUE	TRUE	TRUE	wi	wi	U+140F	CANADIAN SYLLABICS WEST-CREE WI
ᐑ	wî	5137	syllable	TRUE	TRUE	î	TRUE	w	TRUE	TRUE	TRUE	TRUE	wii	wI	U+1411	CANADIAN SYLLABICS WEST-CREE WII
ᐓ	wo	5139	syllable	TRUE	FALSE	o	TRUE	w	TRUE	TRUE	TRUE	TRUE	wo	wo	U+1413	CANADIAN SYLLABICS WEST-CREE WO
ᐕ	wô	5141	syllable	TRUE	TRUE	ô	TRUE	w	TRUE	TRUE	TRUE	TRUE	woo	wO	U+1415	CANADIAN SYLLABICS WEST-CREE WOO
ᐘ	wa	5144	syllable	TRUE	FALSE	a	TRUE	w	TRUE	TRUE	TRUE	TRUE	wa	wa	U+1418	CANADIAN SYLLABICS WEST-CREE WA
ᐚ	wâ	5146	syllable	TRUE	TRUE	â	TRUE	w	TRUE	TRUE	TRUE	TRUE	waa	wA	U+141A	CANADIAN SYLLABICS WEST-CREE WAA
ᐟ	t	5151	consonant	FALSE			TRUE	t		TRUE	TRUE	TRUE	t	t.	U+141F	CANADIAN SYLLABICS FINAL ACUTE
ᐠ	k	5152	consonant	FALSE			TRUE	k		TRUE	TRUE	TRUE	k	k.	U+1420	CANADIAN SYLLABICS FINAL GRAVE
